2015/04/04,龍潭,PM2.5,20,26,27,23,18,23,22,30,26,28,22,25,27,31,33,35,26,23,21,28,27,23,26,19
2015/04/05,龍潭,PM2.5,24,14,21,17,19,18,12,10,19,30,34,40,45,47,38,29,24,15,19,21,29,29,26,21
2015/04/06,龍潭,PM2.5,18,16,20,14,13,12,11,16,16,22,24,27,28,32,32,23,23,24,30,32,32,39,22,17
2015/04/07,龍潭,PM2.5,7,12,10,12,8,9,5,6,6,8,11,14,13,10,5,4,10,9,12,4,9,5,5,1
2015/04/08,龍潭,PM2.5,1,7,6,12,7,8,4,9,9,17,11,15,5,5,0,7,14,17,10,6,14,24,21.36,15
2015/04/09,龍潭,PM2.5,14,9,15,9,15,13,11,7,8,11,14,13,10,14,23.65,19,21,20,16,16,12,13,15,14
2015/04/10,龍潭,PM2.5,10,12,9,13,11,16,13,7,2,7,10,15,11,8,8,12,18,12,6,8,8,10,11,17
2015/04/11,龍潭,PM2.5,16,13,11,16,13,15,18,24,24,21,21,18,17,16,18,18,16,11,17,18,20,20,26,20.14
2015/04/12,龍潭,PM2.5,25,22,15,24,15,16,10,10,7,6,11,9,10,9,16,19,14,13,15,17,17,17,15,13
2015/04/13,龍潭,PM2.5,13,25,27,27,20,18,17,22,29,32,23,19,24,23.54,39,43,45,50,38,43,37,45,38,40
2015/04/14,龍潭,PM2.5,34,34,33,35,38,29,24,20,21,22,15,22,21,27,20,22,18,28,22,27,22,27,28,24
2015/04/15,龍潭,PM2.5,21,17,14,12,14,12,15,7,14,13,18,18,20,25,30,36,34,25,31,24,39,29,39,31
2015/04/16,龍潭,PM2.5,30,30,29,29,25,24,17.48,18.85,28,32,45,42,37,30,24,23,21,25,22,29,29,30,22,24
2015/04/17,龍潭,PM2.5,18,18,15,18,18,22,26,24,23,29,39,45,36,35,37,38,52,64,78,82,80,79,75,68
2015/04/18,龍潭,PM2.5,61,50,48,40,40,32,39,28,38,30,37,27,39,49,51,34,34,23,34,29,28,16,7,13
2015/04/19,龍潭,PM2.5,15,18,12,12,5,18,12,20,10,17,17,21,21,21,18,12,11,10,17,17,18,17,15,19
2015/04/20,龍潭,PM2.5,14,18,12,17,7,10,11,14,10,13,11,20,16,15,11,22.95,6,9,7,16,18,15,13,7
2015/04/21,龍潭,PM2.5,9,4,4,8,11,15,11,17,21,34,29,33,29,33,33,31,36,38,31,32,28,37,26,26
2015/04/22,龍潭,PM2.5,16,20,13,20,14,14,12,12,16,18,16,18,12,18,11,19,11,14,4,11,15,19,14,13
2015/04/23,龍潭,PM2.5,8,9,5,10,13,11,12,13,24,17,13,3,11,17,23,22,15,11,10,14,16,23,23,27
2015/04/24,龍潭,PM2.5,17,19,15,20,13,12,10,20,23,29,30,29,34,30,33,24,24,18,18,18,20,20,18,24
2015/04/25,龍潭,PM2.5,18,17,6,13,14,25,24,18,9,12,18,21,22,23,29,20,20,11,10,10,16,17,13,16
2015/04/26,龍潭,PM2.5,21,21,12,14,16,17,18,16,26,24,28,21,23,26,33,28,31,30,35,36,36,34,32,28
2015/04/27,龍潭,PM2.5,31,18,18,17,22,19,22,24,36,33,36,28,28,27,30,31,32,24,35,38,51,41,39,33
2015/04/28,龍潭,PM2.5,32,27,32,32,37,39,49,46,42,35,41,39,34,24,18,14,12,13,17,23,24,26,20,16
2015/04/29,龍潭,PM2.5,15,22,30,26,23,18,21,22,25,24,28,29,33,27,26,24,26,17,17,19,27,32,29,34
2015/04/30,龍潭,PM2.5,30,30,35,36,41,42,45,49,42,48,51,60,63,23.54,58,58,57,54,37,34,34,39,33,28
2015/05/01,龍潭,PM2.5,27,29,31,27,31,33,33,35,40,51,52,55,61,66,60,51,36,26,24,24,28,19,25,22
2015/05/02,龍潭,PM2.5,27,22,23,22,15,15,17,27,33,38,36,31,36,40,45,32,26,16,20,16,18,20,20,15
2015/05/03,龍潭,PM2.5,14,17,25,25,22,18,20,16,14,9,10,13,15,23,26,22,14,6,12,9,14,5,14,15
2015/05/04,龍潭,PM2.5,21,24,17,15,6,13,9,12,9,15,17,18,16,18,22,23,25,28,27,32,26,34,27,36
2015/05/05,龍潭,PM2.5,29,25,22,17,15,7,7,7,10,15,13,8,7,11,15,13,13,16,15,20,19,27,23,21
